loan_id,month,year,amount_due,amount_collected,collection_efficiency
1055,1,2022,6.67,4.56,0.6838
1057,1,2022,2.47,2.35,0.9517
1058,1,2022,3.53,1.78,0.5055
1059,1,2022,5.54,5.27,0.951
1060,1,2022,2.65,2.44,0.9226
1061,1,2022,4.97,4.53,0.9109
1062,1,2022,5.38,5.18,0.9625
1063,1,2022,2.86,2.8,0.9792
1064,1,2022,3.14,3.06,0.9753
1069,1,2022,7.32,6.62,0.9044
1070,1,2022,3.43,3.17,0.9256
1071,1,2022,4.4,4.19,0.9513
1072,1,2022,5.57,5.44,0.977
1073,1,2022,4.08,3.75,0.9188
1074,1,2022,2.65,2.47,0.9306
1075,1,2022,6.95,6.21,0.8937
1076,1,2022,4.92,4.38,0.8902
1078,1,2022,4.64,4.5,0.9705
1080,1,2022,2.24,2.22,0.9922
1081,1,2022,7.98,7.46,0.9351
1082,1,2022,3.0,2.93,0.9781
1083,1,2022,6.5,6.19,0.9525
1084,1,2022,5.79,2.81,0.4859
1087,1,2022,3.17,3.02,0.9525
1089,1,2022,7.86,4.17,0.5303
1090,1,2022,5.2,3.56,0.684
1091,1,2022,7.2,7.2,1.0
1093,1,2022,3.47,2.89,0.8332
1094,1,2022,6.76,6.56,0.9709
1095,1,2022,5.38,5.07,0.9415
1096,1,2022,3.71,3.44,0.926
1098,1,2022,5.46,5.14,0.9417
1099,1,2022,6.71,5.76,0.8585
1100,1,2022,7.62,7.08,0.9292
1101,1,2022,2.99,2.85,0.9523
1103,1,2022,3.12,3.11,0.9971
1104,1,2022,9.14,8.38,0.9173
1105,1,2022,8.66,7.84,0.9057
1106,1,2022,6.27,5.76,0.9179
1107,1,2022,9.18,8.95,0.9746
1108,1,2022,6.81,6.48,0.9512
1109,1,2022,3.19,2.92,0.9168
1110,1,2022,5.96,5.71,0.9585
1111,1,2022,2.4,2.26,0.9419
1113,1,2022,7.02,6.86,0.9767
1114,1,2022,7.93,7.22,0.9099
1115,1,2022,5.75,5.32,0.9249
1116,1,2022,3.76,3.47,0.9223
1117,1,2022,7.15,6.29,0.8795
1118,1,2022,3.5,3.32,0.9498
1119,1,2022,9.74,9.24,0.9484
1120,1,2022,4.63,4.34,0.9382
1121,1,2022,9.33,8.66,0.9286
1122,1,2022,3.01,2.65,0.8814
1123,1,2022,9.92,6.16,0.6213
1124,1,2022,8.34,7.71,0.9243
1125,1,2022,5.62,5.09,0.9059
1126,1,2022,5.41,5.04,0.9315
1128,1,2022,7.6,7.25,0.9542
1129,1,2022,4.55,3.11,0.683
1132,1,2022,3.56,3.36,0.945
1133,1,2022,5.79,5.49,0.9483
1134,1,2022,4.81,4.5,0.935
1135,1,2022,3.93,3.38,0.8612
1136,1,2022,6.98,6.54,0.9369
1137,1,2022,4.0,3.76,0.9404
1143,1,2022,7.06,7.06,1.0
1144,1,2022,3.2,2.98,0.9303
1145,1,2022,6.2,5.89,0.9501
1148,1,2022,8.51,7.97,0.9366
1149,1,2022,5.31,4.73,0.8913
1150,1,2022,7.77,7.64,0.9837
1151,1,2022,5.88,3.26,0.5542
1152,1,2022,6.93,6.72,0.9696
1153,1,2022,7.61,6.86,0.9016
1154,1,2022,4.13,4.11,0.9941
1158,1,2022,4.79,4.22,0.8819
1159,1,2022,3.2,3.08,0.9615
1161,1,2022,4.74,4.74,1.0
1162,1,2022,3.04,2.73,0.8984
1165,1,2022,7.02,6.43,0.9153
1166,1,2022,6.22,5.86,0.942
1168,1,2022,4.07,3.74,0.9179
1169,1,2022,5.19,4.55,0.876
1170,1,2022,9.38,8.82,0.9407
1171,1,2022,10.95,9.81,0.8955
1172,1,2022,8.23,7.88,0.9569
1173,1,2022,5.11,4.61,0.9012
1175,1,2022,5.2,5.2,1.0
1176,1,2022,16.63,15.08,0.9067
1178,1,2022,6.71,6.21,0.9251
1179,1,2022,12.85,12.47,0.9705
1180,1,2022,7.22,6.42,0.8888
1181,1,2022,8.64,8.18,0.9471
1182,1,2022,5.44,5.39,0.9903
1183,1,2022,6.64,5.8,0.8737
1184,1,2022,16.93,16.01,0.9454
1185,1,2022,11.55,10.95,0.9484
1186,1,2022,15.08,9.21,0.6107
1188,1,2022,7.85,6.97,0.8885
1189,1,2022,14.45,12.79,0.8852
1190,1,2022,13.82,13.25,0.9589
1191,1,2022,10.82,10.28,0.9499
1192,1,2022,10.28,9.75,0.948
1193,1,2022,6.72,6.4,0.9519
1194,1,2022,12.58,11.46,0.9108
1195,1,2022,13.59,12.87,0.9473
1197,1,2022,12.65,12.01,0.9497
1198,1,2022,13.0,11.82,0.9094
1200,1,2022,10.48,10.48,1.0
1201,1,2022,6.64,6.35,0.957
1203,1,2022,15.24,13.57,0.8903
1204,1,2022,11.88,11.46,0.9643
1205,1,2022,13.15,11.82,0.899
1208,1,2022,15.44,14.97,0.9695
1209,1,2022,7.86,7.74,0.9843
1210,1,2022,11.04,9.99,0.9052
1211,1,2022,17.54,17.13,0.9765
1212,1,2022,5.31,5.07,0.9545
1213,1,2022,14.71,14.28,0.9709
1214,1,2022,10.23,4.64,0.4533
1216,1,2022,10.33,9.59,0.9282
1217,1,2022,8.68,7.88,0.9079
1218,1,2022,8.97,4.04,0.4506
1219,1,2022,13.49,12.21,0.9054
1220,1,2022,5.81,5.43,0.9349
1221,1,2022,8.25,7.85,0.9516
1222,1,2022,5.54,5.26,0.9491
1223,1,2022,9.48,9.21,0.9711
1225,1,2022,5.08,4.77,0.9385
1226,1,2022,4.05,4.03,0.9961
1227,1,2022,7.57,3.97,0.5247
1228,1,2022,6.2,6.2,1.0
1230,1,2022,7.17,6.9,0.963
1231,1,2022,4.7,4.25,0.9037
1233,1,2022,13.62,12.19,0.8952
1234,1,2022,14.66,14.03,0.9573
1235,1,2022,10.21,9.49,0.9291
1236,1,2022,8.24,3.39,0.4116
1237,1,2022,15.55,7.99,0.5137
1238,1,2022,17.73,16.58,0.9351
1239,1,2022,11.12,10.05,0.9041
1240,1,2022,10.78,9.46,0.8774
1241,1,2022,12.73,11.71,0.9201
1243,1,2022,7.72,7.51,0.9723
1247,1,2022,1.8,0.83,0.4604
1248,1,2022,3.49,1.48,0.4246
1249,1,2022,2.09,1.97,0.9449
1250,1,2022,1.74,1.66,0.9534
1251,1,2022,3.37,3.04,0.9026
1252,1,2022,1.61,1.52,0.9441
1253,1,2022,2.82,2.65,0.9403
1254,1,2022,1.99,1.78,0.8923
1255,1,2022,5.25,2.35,0.4476
1257,1,2022,1.7,1.63,0.9604
1258,1,2022,3.18,3.12,0.9813
1260,1,2022,3.18,3.12,0.9802
1261,1,2022,4.59,4.05,0.8829
1262,1,2022,2.01,1.81,0.9005
1263,1,2022,2.5,2.4,0.9586
1264,1,2022,2.52,2.42,0.9586
1265,1,2022,3.03,2.9,0.9586
1266,1,2022,3.15,1.72,0.5458
1269,1,2022,3.26,2.11,0.6468
1270,1,2022,2.68,2.64,0.9834
1271,1,2022,3.75,3.66,0.9762
1272,1,2022,2.23,2.15,0.9641
1273,1,2022,3.65,3.38,0.9254
1274,1,2022,5.08,4.92,0.9684
1277,1,2022,2.1,1.9,0.9071
1278,1,2022,3.41,3.17,0.9285
1279,1,2022,1.75,1.61,0.9186
1280,1,2022,3.66,3.45,0.9413
1281,1,2022,5.67,5.67,1.0
1282,1,2022,1.73,1.49,0.8633
1283,1,2022,2.44,2.36,0.9655
1287,1,2022,1.97,1.72,0.8735
1288,1,2022,3.96,3.64,0.9191
1289,1,2022,1.52,1.49,0.9816
1290,1,2022,2.75,2.59,0.9406
1291,1,2022,3.33,2.98,0.8949
1293,1,2022,2.0,1.82,0.9094
1294,1,2022,3.23,1.72,0.5326
1296,1,2022,1.62,1.47,0.9088
1297,1,2022,2.14,2.03,0.9467
1298,1,2022,3.1,2.91,0.9398
1299,1,2022,2.81,2.56,0.9119
1300,1,2022,1.77,1.77,1.0
1301,1,2022,3.12,3.01,0.9634
1302,1,2022,3.41,2.92,0.857
1303,1,2022,3.97,3.75,0.9455
1305,1,2022,3.74,3.41,0.9115
1306,1,2022,4.48,4.35,0.9721
1307,1,2022,1.84,1.67,0.9063
1308,1,2022,2.14,2.0,0.9334
1309,1,2022,2.48,2.38,0.9582
1310,1,2022,4.05,3.94,0.9726
1311,1,2022,4.49,4.0,0.89
1312,1,2022,3.14,2.9,0.9246
1313,1,2022,2.64,2.43,0.919
1314,1,2022,2.99,2.73,0.9119
1315,1,2022,1.84,1.84,1.0
1319,1,2022,3.38,3.23,0.9542
1320,1,2022,2.08,1.85,0.8876
1321,1,2022,4.48,4.37,0.9747
1322,1,2022,1.27,1.27,1.0
1323,1,2022,2.93,2.87,0.9793
1325,1,2022,1.99,1.75,0.8772
1326,1,2022,2.56,2.35,0.9186
1328,1,2022,1.8,0.97,0.5362
1329,1,2022,3.82,3.48,0.9097
1330,1,2022,4.7,2.49,0.5298
1332,1,2022,4.23,4.1,0.969
1333,1,2022,4.49,4.05,0.9009
1335,1,2022,3.65,3.42,0.9356
1336,1,2022,3.42,2.76,0.8083
1337,2,2022,10.2,5.27,0.517
1338,2,2022,9.88,9.17,0.9279
1339,2,2022,5.29,4.7,0.8881
1340,2,2022,4.9,4.9,1.0
1341,2,2022,6.41,5.65,0.8808
1342,2,2022,5.79,5.33,0.9204
1343,2,2022,4.55,4.29,0.9432
1344,2,2022,4.21,4.19,0.9957
1345,2,2022,2.54,2.24,0.8806
1346,2,2022,2.87,2.83,0.9845
1348,2,2022,3.94,3.7,0.9384
1349,2,2022,5.06,4.55,0.8987
1350,2,2022,3.43,3.28,0.9565
1351,2,2022,8.74,8.27,0.946
1352,2,2022,5.8,5.3,0.914
1353,2,2022,6.71,6.31,0.9408
1355,2,2022,8.68,8.01,0.9226
1356,2,2022,6.83,6.44,0.9425
1357,2,2022,5.47,5.28,0.9645
1358,2,2022,8.16,8.16,1.0
1359,2,2022,7.07,6.28,0.8885
1360,2,2022,11.04,11.04,1.0
1363,2,2022,7.39,6.35,0.8599
1364,2,2022,4.52,4.21,0.9319
1365,2,2022,4.19,4.03,0.9615
1367,2,2022,4.96,4.71,0.9492
1368,2,2022,5.42,4.95,0.9131
1370,2,2022,7.23,6.72,0.9297
1371,2,2022,6.32,5.8,0.9183
1372,2,2022,6.51,5.95,0.9144
1373,2,2022,3.79,3.68,0.972
1374,2,2022,5.27,5.02,0.9523
1375,2,2022,4.48,4.08,0.9103
1376,2,2022,5.99,5.83,0.974
1377,2,2022,4.25,4.04,0.9503
1378,2,2022,4.83,4.69,0.9705
1380,2,2022,7.4,7.13,0.9632
1382,2,2022,2.77,2.51,0.9048
1383,2,2022,4.11,3.76,0.9156
1384,2,2022,6.7,6.48,0.9679
1385,2,2022,7.43,7.15,0.9624
1387,2,2022,3.84,3.6,0.9372
1388,2,2022,6.61,6.23,0.9427
1392,2,2022,4.77,4.72,0.9891
1393,2,2022,9.88,9.03,0.9143
1394,2,2022,7.05,6.77,0.9599
1396,2,2022,4.38,2.82,0.6428
1397,2,2022,6.5,6.04,0.9293
1398,2,2022,4.66,4.58,0.982
1399,2,2022,4.57,4.44,0.971
1401,2,2022,6.41,6.22,0.9705
1402,2,2022,10.21,10.11,0.9902
1403,2,2022,6.09,3.82,0.6266
1405,2,2022,7.16,6.91,0.9653
1406,2,2022,10.67,9.88,0.9256
1408,2,2022,12.16,11.56,0.951
1409,2,2022,5.09,4.75,0.9328
1410,2,2022,12.04,11.34,0.9419
1411,2,2022,7.53,7.24,0.9618
1412,2,2022,9.16,8.29,0.9053
1413,2,2022,11.82,11.82,1.0
1414,2,2022,8.99,8.07,0.8978
1417,2,2022,8.73,7.76,0.8894
1418,2,2022,6.71,6.6,0.9843
1420,2,2022,9.99,9.69,0.9697
1421,2,2022,13.36,12.87,0.963
1422,2,2022,3.97,3.82,0.9631
1423,2,2022,15.19,14.24,0.9375
1424,2,2022,9.35,8.43,0.9021
1426,2,2022,5.73,5.39,0.941
1427,2,2022,14.39,13.11,0.9109
1428,2,2022,13.19,5.43,0.4115
1429,2,2022,12.82,11.95,0.9321
1431,2,2022,12.31,11.14,0.905
1432,2,2022,9.69,8.96,0.9251
1433,2,2022,4.63,4.42,0.9545
1434,2,2022,8.02,7.34,0.9155
1435,2,2022,3.9,3.53,0.9051
1437,2,2022,10.82,10.25,0.9477
1438,2,2022,11.99,11.36,0.9478
1439,2,2022,6.15,2.81,0.4576
1440,2,2022,8.42,4.4,0.5231
1441,2,2022,4.53,4.29,0.9473
1442,2,2022,6.49,5.71,0.8801
1443,2,2022,10.15,8.95,0.8817
1444,2,2022,5.93,3.05,0.5138
1445,2,2022,14.09,13.1,0.9295
1446,2,2022,9.02,8.57,0.9504
1451,2,2022,8.63,8.6,0.997
1452,2,2022,4.3,4.18,0.9723
1453,2,2022,15.35,14.3,0.9316
1454,2,2022,5.53,5.18,0.9372
1455,2,2022,7.21,6.47,0.8979
1456,2,2022,10.33,9.68,0.9373
1458,2,2022,6.09,5.64,0.9265
1459,2,2022,9.25,5.27,0.5694
1460,2,2022,8.75,7.92,0.9049
1462,2,2022,5.32,5.1,0.9588
1463,2,2022,9.71,9.7,0.9993
1465,2,2022,7.71,7.2,0.9336
1468,2,2022,10.83,10.33,0.9541
1469,2,2022,10.87,10.5,0.9656
1470,2,2022,10.97,10.11,0.922
1471,2,2022,5.04,4.77,0.947
1472,2,2022,8.72,8.18,0.9385
1473,2,2022,7.35,6.92,0.9419
1474,2,2022,6.76,6.13,0.9071
1476,2,2022,10.93,10.26,0.939
1477,2,2022,14.02,6.76,0.4819
1478,2,2022,14.34,7.38,0.5148
1479,2,2022,9.62,9.39,0.9764
1480,2,2022,13.85,13.85,1.0
1481,2,2022,10.54,9.56,0.9073
1482,2,2022,4.81,4.68,0.9729
1483,2,2022,5.04,4.76,0.9453
1484,2,2022,11.01,11.01,1.0
1485,2,2022,5.26,4.76,0.9057
1486,2,2022,4.49,4.06,0.9044
1487,2,2022,16.42,15.01,0.914
1488,2,2022,10.14,8.65,0.853
1489,2,2022,7.87,7.22,0.917
1491,2,2022,5.85,5.31,0.9076
1492,2,2022,10.42,9.84,0.944
1493,2,2022,8.68,8.26,0.9517
1494,2,2022,11.98,11.98,1.0
1495,2,2022,8.94,8.73,0.976
1496,2,2022,12.7,11.62,0.9149
1497,2,2022,12.77,6.99,0.5475
1498,2,2022,11.9,11.4,0.9577
1499,2,2022,14.56,12.89,0.8852
1501,2,2022,8.9,8.9,1.0
1502,2,2022,6.85,6.75,0.9852
1505,2,2022,6.67,6.13,0.9192
1507,2,2022,10.79,9.38,0.8695
1508,2,2022,11.24,11.15,0.9922
1509,2,2022,4.83,4.51,0.9334
1512,2,2022,9.79,9.67,0.9875
1514,2,2022,7.65,6.69,0.8742
1515,2,2022,11.0,10.05,0.914
1516,2,2022,12.16,11.41,0.9382
1517,2,2022,4.88,4.59,0.9399
1518,2,2022,14.61,8.39,0.5745
1519,2,2022,6.87,6.62,0.9629
1521,2,2022,8.3,7.43,0.8953
1522,2,2022,9.13,8.51,0.9323
1523,2,2022,9.39,8.85,0.9428
1524,2,2022,4.46,4.28,0.9586
1526,2,2022,4.28,4.14,0.9665
1527,2,2022,6.09,5.44,0.893
1528,2,2022,15.09,13.23,0.8766
1529,2,2022,5.91,5.85,0.9891
1530,2,2022,5.35,3.42,0.6401
1531,2,2022,6.6,5.99,0.9081
1532,2,2022,10.22,10.22,1.0
1534,2,2022,14.88,14.03,0.9426
1536,2,2022,4.96,4.89,0.9852
1538,2,2022,11.02,10.37,0.9407
1542,2,2022,8.79,8.79,1.0
1543,2,2022,7.3,7.3,1.0
1545,2,2022,9.01,8.36,0.928
1548,2,2022,9.32,9.1,0.9769
1549,2,2022,11.55,11.13,0.9638
1551,2,2022,6.47,6.42,0.9927
1552,2,2022,4.63,4.16,0.8994
1553,2,2022,4.83,2.0,0.4147
1554,2,2022,2.85,2.79,0.9803
1555,2,2022,7.92,6.87,0.8677
1556,2,2022,3.19,1.52,0.4766
1557,2,2022,5.88,5.04,0.8564
1559,2,2022,5.22,4.84,0.9272
1560,2,2022,6.79,4.45,0.6558
1561,2,2022,3.75,3.74,0.9981
1562,2,2022,4.46,4.2,0.941
1565,2,2022,2.29,2.29,1.0
1567,2,2022,6.62,5.84,0.8828
1568,2,2022,4.34,3.78,0.8699
1569,2,2022,2.04,1.91,0.9358
1570,2,2022,4.51,4.3,0.9534
1571,2,2022,5.83,5.46,0.9367
1573,2,2022,2.16,1.85,0.8553
1574,2,2022,5.28,4.93,0.9344
1575,2,2022,5.08,4.5,0.8858
1576,2,2022,4.24,4.09,0.9648
1578,2,2022,6.13,5.84,0.9527
1579,2,2022,5.31,4.78,0.9004
1581,2,2022,2.12,1.94,0.9174
1582,2,2022,4.93,4.42,0.8956
1583,2,2022,2.99,2.8,0.9355
1584,2,2022,6.29,3.41,0.5428
1585,2,2022,2.66,2.39,0.8986
1588,2,2022,2.07,1.98,0.9582
1590,2,2022,6.86,6.29,0.9168
1592,2,2022,5.01,4.54,0.9063
1593,2,2022,2.98,2.78,0.9337
1594,2,2022,4.28,3.84,0.8966
1595,2,2022,7.11,6.51,0.9159
1597,2,2022,4.64,4.13,0.8901
1598,2,2022,2.1,2.1,1.0
1600,2,2022,2.37,1.24,0.5239
1602,2,2022,2.81,2.56,0.91
1603,2,2022,5.67,5.37,0.9466
1604,2,2022,3.41,3.18,0.9335
1606,2,2022,2.24,2.08,0.9292
1607,2,2022,3.01,2.9,0.9626
1609,2,2022,6.18,5.98,0.9683
1610,2,2022,2.57,2.36,0.9168
1612,2,2022,3.79,3.47,0.915
1613,2,2022,2.17,2.01,0.927
1614,2,2022,5.5,2.45,0.4454
1615,2,2022,3.74,3.28,0.8774
1617,3,2022,3.06,1.35,0.44
1619,3,2022,7.08,3.78,0.5346
1620,3,2022,3.39,3.15,0.928
1621,3,2022,4.64,4.46,0.9611
1624,3,2022,8.34,7.93,0.9505
1625,3,2022,5.06,5.06,1.0
1627,3,2022,8.25,8.11,0.9828
1628,3,2022,5.94,5.54,0.9329
1629,3,2022,8.6,7.74,0.8998
1630,3,2022,5.0,4.37,0.8737
1632,3,2022,2.45,2.32,0.9461
1633,3,2022,6.19,5.62,0.9077
1634,3,2022,2.33,1.6,0.6846
1635,3,2022,6.88,6.28,0.9121
1636,3,2022,3.34,2.99,0.8947
1637,3,2022,3.08,3.08,1.0
1638,3,2022,7.34,4.29,0.5849
1639,3,2022,5.45,5.11,0.9377
1640,3,2022,9.18,9.15,0.9972
1642,3,2022,4.38,4.12,0.9411
1643,3,2022,4.89,4.42,0.9035
1644,3,2022,4.01,4.01,0.9989
1645,3,2022,9.3,4.86,0.5221
1646,3,2022,4.12,3.69,0.8965
1647,3,2022,6.64,6.18,0.9304
1648,3,2022,5.26,4.75,0.903
1649,3,2022,5.27,3.12,0.592
1650,3,2022,5.53,3.28,0.5936
1651,3,2022,3.75,3.75,1.0
1652,3,2022,5.74,5.06,0.8821
1653,3,2022,7.53,7.23,0.9605
1654,3,2022,4.99,4.55,0.912
1656,3,2022,7.93,7.28,0.9185
1657,3,2022,3.28,3.0,0.9143
1658,3,2022,2.61,2.36,0.9034
1660,3,2022,8.12,7.63,0.9399
1661,3,2022,3.8,3.44,0.9048
1662,3,2022,4.54,4.31,0.9488
1663,3,2022,6.04,2.68,0.4439
1664,3,2022,3.82,3.55,0.9284
1665,3,2022,4.41,3.98,0.9017
1666,3,2022,6.49,5.94,0.9149
1668,3,2022,5.68,2.96,0.5217
1670,3,2022,9.39,9.0,0.958
1671,3,2022,8.56,7.69,0.8989
1672,3,2022,4.83,4.55,0.942
1673,3,2022,3.73,3.61,0.9681
1674,3,2022,5.28,3.08,0.5838
1676,3,2022,5.25,5.04,0.9597
1677,3,2022,2.89,2.63,0.9115
1679,3,2022,4.23,4.06,0.9608
1680,3,2022,2.94,2.67,0.9075
1681,3,2022,5.96,5.16,0.8658
1684,3,2022,8.99,7.85,0.8729
1686,3,2022,3.44,3.23,0.9399
1687,3,2022,6.61,6.27,0.9484
1688,3,2022,8.14,7.34,0.9018
1689,3,2022,8.46,8.15,0.9635
1690,3,2022,4.31,3.76,0.8715
1692,3,2022,7.94,7.43,0.9354
1693,3,2022,6.53,5.81,0.8896
1694,3,2022,7.62,6.95,0.9119
1697,3,2022,12.04,11.32,0.9399
1698,3,2022,11.56,10.45,0.9036
1699,3,2022,4.44,4.1,0.9226
1701,3,2022,4.54,4.44,0.9783
1702,3,2022,6.72,6.15,0.9149
1703,3,2022,13.78,13.39,0.9714
1704,3,2022,12.91,11.53,0.8928
1705,3,2022,5.83,5.59,0.9592
1706,3,2022,6.28,6.25,0.9957
1708,3,2022,7.03,5.9,0.8391
1710,3,2022,7.38,6.69,0.9061
1711,3,2022,7.44,7.15,0.9611
1712,3,2022,8.35,7.76,0.9299
1713,3,2022,12.82,12.22,0.9528
1714,3,2022,4.43,4.05,0.9138
1715,3,2022,5.69,5.36,0.9415
1717,3,2022,5.69,5.3,0.9318
1719,3,2022,10.39,10.23,0.9847
1720,3,2022,7.35,6.97,0.9482
1721,3,2022,13.68,13.02,0.9515
1723,3,2022,9.49,8.75,0.9215
1725,3,2022,13.64,9.09,0.6664
1726,3,2022,4.95,4.56,0.9207
1727,3,2022,16.01,15.27,0.9538
1728,3,2022,4.97,4.58,0.9212
1729,3,2022,10.81,10.27,0.9496
1730,3,2022,8.29,8.29,1.0
1732,3,2022,9.97,9.7,0.9728
1733,3,2022,11.89,11.0,0.925
1734,3,2022,6.36,3.97,0.6237
1737,3,2022,8.5,7.83,0.9217
1739,3,2022,9.99,8.56,0.8565
1740,3,2022,5.49,3.51,0.6387
1741,3,2022,9.52,8.22,0.8632
1743,3,2022,15.16,14.01,0.9239
1744,3,2022,10.87,10.2,0.9387
1745,3,2022,6.33,6.33,1.0
1746,3,2022,16.7,11.47,0.6866
1747,3,2022,4.57,4.25,0.9292
1749,3,2022,8.72,8.47,0.9712
1750,3,2022,4.17,3.54,0.8496
1751,3,2022,5.72,5.42,0.9474
1752,3,2022,5.74,5.56,0.9688
1753,3,2022,12.45,8.33,0.6695
1754,3,2022,9.52,9.37,0.9838
1755,3,2022,8.59,8.17,0.9515
1757,3,2022,11.35,10.46,0.9214
1758,3,2022,9.03,8.7,0.9633
1759,3,2022,5.69,2.52,0.4422
1761,3,2022,13.56,12.82,0.9453
1762,3,2022,5.66,5.37,0.9479
1764,3,2022,10.73,9.87,0.9196
1765,3,2022,14.25,12.88,0.904
1766,3,2022,5.67,5.51,0.9712
1767,3,2022,12.15,10.98,0.9038
1769,3,2022,15.33,14.42,0.9409
1770,3,2022,13.56,12.46,0.9189
1771,3,2022,4.25,4.07,0.9572
1772,3,2022,4.63,4.4,0.9513
1773,3,2022,12.88,12.62,0.9795
1775,3,2022,7.62,6.99,0.9176
1776,3,2022,12.44,11.53,0.9272
1777,3,2022,5.23,4.7,0.8988
1778,3,2022,6.98,6.42,0.9202
1779,3,2022,4.13,3.94,0.9531
1780,3,2022,11.54,11.17,0.9683
1781,3,2022,8.15,7.34,0.9011
1783,3,2022,7.96,7.74,0.9728
1784,3,2022,12.21,12.12,0.9922
1785,3,2022,7.32,6.99,0.9545
1786,3,2022,12.37,12.37,1.0
1787,3,2022,7.36,6.68,0.907
1788,3,2022,13.22,11.74,0.8882
1790,3,2022,13.68,5.75,0.42
1791,3,2022,7.01,6.99,0.9978
1792,3,2022,9.13,8.8,0.9642
1793,3,2022,7.17,6.71,0.9358
1794,3,2022,14.07,13.36,0.9492
1795,3,2022,7.16,6.39,0.893
1796,3,2022,5.68,3.13,0.5518
1797,3,2022,9.91,9.35,0.9432
1798,3,2022,10.61,10.0,0.9424
1801,3,2022,14.22,13.75,0.967
1802,3,2022,10.16,6.69,0.6586
1803,3,2022,3.95,3.74,0.947
1805,3,2022,4.45,4.03,0.9064
1806,3,2022,15.72,15.04,0.9569
1807,3,2022,9.12,9.12,1.0
1808,3,2022,11.23,11.14,0.9918
1810,3,2022,11.64,11.64,1.0
1811,3,2022,13.57,12.45,0.9176
1812,3,2022,10.76,9.67,0.8984
1813,3,2022,15.03,14.02,0.933
1814,3,2022,5.73,3.13,0.5464
1815,3,2022,7.67,7.53,0.9818
1816,3,2022,7.39,6.43,0.8703
1817,3,2022,6.89,6.88,0.9992
1818,3,2022,5.54,5.16,0.9317
1819,3,2022,17.19,8.92,0.5191
1820,3,2022,8.61,7.73,0.8975
1822,3,2022,4.72,4.11,0.8718
1824,3,2022,5.88,5.71,0.9709
1825,3,2022,10.78,10.14,0.9409
1828,3,2022,10.33,9.16,0.8864
1829,3,2022,6.6,5.85,0.8862
1831,3,2022,10.21,9.44,0.9246
1832,3,2022,16.53,16.53,1.0
1833,3,2022,13.96,12.95,0.9276
1834,3,2022,10.26,9.01,0.8779
1835,3,2022,9.56,5.38,0.5632
1837,3,2022,8.71,5.8,0.6657
1838,3,2022,4.75,3.94,0.8301
1841,3,2022,4.78,4.47,0.9358
1842,3,2022,2.67,2.48,0.9288
1843,3,2022,3.59,3.47,0.9658
1844,3,2022,3.75,3.75,1.0
1845,3,2022,5.92,4.08,0.6887
1846,3,2022,2.73,2.53,0.9272
1847,3,2022,3.32,2.97,0.8937
1848,3,2022,2.04,2.04,1.0
1849,3,2022,3.73,3.51,0.9404
1850,3,2022,3.52,3.3,0.9386
1851,3,2022,5.36,5.02,0.937
1852,3,2022,4.47,4.23,0.9459
1853,3,2022,4.22,2.19,0.5187
1854,3,2022,5.38,4.92,0.9151
1855,3,2022,2.95,2.7,0.9161
1856,3,2022,5.69,5.33,0.9367
1858,3,2022,3.71,3.4,0.9163
1859,3,2022,2.12,1.93,0.9095
1860,3,2022,4.96,4.67,0.9423
1861,3,2022,1.76,1.63,0.9278
1862,3,2022,1.57,1.02,0.6528
